ОТЧЁТ О РЕДАКТУРЕ ТУРИСТИЧЕСКИХ ОПИСАНИЙ
Рабочая папка: C:\Work\khakaton_2026_dataset
Дата: 11.09.2026

1. Обработанные файлы

- 02_place_descriptions\museum_descriptions.md — проверено 54, исправлено 14, без изменений 40.
- 02_place_descriptions\history_descriptions.md — проверено 596, исправлено 596, без изменений 0.
- 02_place_descriptions\religion_architecture_descriptions.md — проверено 157, исправлено 157, без изменений 0.
- 02_place_descriptions\theatre_descriptions.md — проверено 24, исправлено 14, без изменений 10.
- 02_place_descriptions\art_descriptions.md — проверено 339, исправлено 339, без изменений 0.
- 02_place_descriptions\literature_descriptions.md — проверено 70, исправлено 52, без изменений 18.
- 02_place_descriptions\walks_parks_descriptions.md — проверено 167, исправлено 167, без изменений 0.
- 02_place_descriptions\viewpoint_descriptions.md — проверено 33, исправлено 32, без изменений 1.
- 02_place_descriptions\tatar_food_descriptions.md — проверено 14, исправлено 13, без изменений 1.

Всего проверено: 1454 описания.
Исправлено: 1384.
Оставлено без изменений: 70.

2. Выполненная редактура

- Удалены служебные упоминания OSM, исходных записей, тегов, датасетов и процесса подготовки.
- Описания переписаны простым туристическим языком с сохранением подтверждённых фактов.
- Устранены повторы, канцелярские обороты, рекламные преувеличения и ошибки согласования.
- Даты вида YYYY-MM-DD преобразованы в естественную русскую запись.
- Названия, адреса, координаты, OSM id и строки источников сохранены.

3. Проверка структуры

- Все 9 JSON-файлов успешно разобраны; синтаксических ошибок не обнаружено.
- До и после редактуры сохранены 1454 точки и 1454 непустых описания.
- Порядок и состав OSM id совпадают с исходными JSON.
- В каждой карточке сохранены заголовок, id, адрес или координаты, описание и источники.
- Все 1454 строки источников содержат сайты.
- Остальные структурированные поля markdown-файлов совпадают с резервными копиями.
- HTML-теги, пустые описания и повреждение текста не обнаружены.

4. Отсутствующие и некорректные описания

Места без описания: не обнаружены.
Пустые описания: не обнаружены.
Повреждённые описания: не обнаружены.

5. Записи для ручной проверки

Всего: 426. Для них сохранено краткое фактическое описание, но данных недостаточно для полной идентификации. В перечень также включён проект музея в самолёте Ту-144, для которого необходимо проверить актуальную доступность посещения.

museum — 10:
- node/12995828501 | Музей масштабных автомобилей
- node/14100765252 | Школа-музей флористики
- node/14133850592 | Музей ТУ-144
- node/1993421688 | Музей пожарной охраны
- node/2387049953 | Музей образования РТ
- node/2947779441 | Музейно-мемориальный комплекс истории татарского народа
- node/3413153869 | Музей Л. Н. Толстого
- way/339968839 | Музей авто имени Ирека Миннахметова
- way/592814657 | Без названия — деревянное здание на улице Бехтерева, 5/2
- way/72612032 | Музей Радиотелевизионного передающего центра

history — 118:
- node/10011630607 | Без названия — военный мемориал (55.7902095, 49.1192956)
- node/10033223915 | Без названия — мемориальная доска (55.8338197, 49.0739421)
- node/10033242760 | Без названия — мемориальная доска (55.835097, 49.0784831)
- node/10697788360 | Без названия — мемориальный объект (55.8516391, 49.0400854)
- node/10723426029 | Без названия — мемориальная доска (55.7914477, 49.116151)
- node/10774065809 | Без названия — военный мемориал (55.8216972, 49.0533408)
- node/10822648437 | Без названия — мемориальный бюст (55.8074738, 49.06993)
- node/10826792763 | Без названия — мемориальная доска (55.8177671, 48.8890506)
- node/10826792813 | Без названия — мемориальная доска (55.8203593, 48.8986313)
- node/10939802551 | Без названия — памятный камень (55.8233181, 49.0884674)
- node/11167373219 | Без названия — военный мемориал (55.765336, 49.1061733)
- node/11210634178 | Без названия — мемориальная доска (55.7946121, 49.1385364)
- node/11210634179 | Без названия — мемориальная доска (55.7945529, 49.1385193)
- node/11210634181 | Без названия — мемориальная доска (55.795927, 49.12937)
- node/11515842616 | Без названия — мемориальная доска (55.8251073, 49.0855241)
- node/11591745063 | Без названия — мемориальный объект (55.8308886, 49.1454907)
- node/11923433519 | Без названия — мемориальный объект (55.8524126, 49.0405173)
- node/11923433523 | Без названия — мемориальный объект (55.8525137, 49.0401301)
- node/11923433524 | Без названия — мемориальный объект (55.8523882, 49.0410895)
- node/11923433525 | Без названия — мемориальный объект (55.8521805, 49.0415123)
- node/12108259012 | Без названия — мемориальная доска (55.8104234, 49.1844678)
- node/12153456392 | Без названия — мемориальная доска (55.7971656, 49.1740479)
- node/12162477578 | Без названия — военный мемориал (55.8198526, 49.179613)
- node/12184353447 | Без названия — мемориальная доска (55.8182158, 49.1015201)
- node/12357674164 | Без названия — мемориальная доска (55.7968943, 49.1720112)
